# Open Claw, Phase: slack, Height: 10956.2mm, Created: 2026-05-14 17:05
#
# === Hinge parameters (see diagram) ===
# A  radius van de buis (push_radius):        20.0mm  (0.02000m)
# B  marge (push_radius_margin):              1.0mm  (0.00100m)
# C  offset door radius (= t1/2):             2.5mm  (0.00250m)
# D  randafstand (hinge_extension):           30.0mm  (0.03000m)
# E  diameter gat (hinge_hole_diameter):      14.0mm  (0.01400m)
# t1 dikte staal (disc_thickness):             5.0mm  (0.00500m)
# t2 dikte POM (disc_separator):              2.0mm  (0.00200m)
#    cap_thickness:                           5.0mm  (0.00500m)
#    pull_radius:                             7.0mm  (0.00700m)
#
# === Afgeleide waarden ===
#    A + B + C  = 23.5mm  (halve breedte schijf)
#    C + D + E  = 46.5mm  (scharnier lengte)
#    t1 + t2    = 7.0mm  (schijf + separator)
#    disc_center_offset(0) = 9.5mm  (as-afstand tot centrum eerste schijf)
#
# Orientation check (CSV coords, mm, Z-up): ground plane at Z=0, apex at Z=10956.2
# Lowest[1]: joint=CX4YZ1 X=2961.5 Y=891.4 Z=3777.5
# Lowest[2]: joint=BX4YZ1 X=-709.2 Y=-3009.9 Z=3777.6
# Lowest[3]: joint=AX4YZ1 X=-2252.1 Y=2120.0 Z=3777.9
# Highest:   joint=YZ1 X=0.7 Y=0.1 Z=10956.2
# === Hinge bend snap quality ===
# Bend count (K):       4
# Magnitude source:     LOCKED to factory inventory (no per-export reoptimisation)
# Optimal magnitudes:   [12°, 30°, 49°, 68°]
# Effective signed set: [-68°, -49°, -30°, -12°, +12°, +30°, +49°, +68°]
# Bend counts (signed): -68°×60  -49°×114  -30°×76  -12°×29  +12°×51  +30°×24  +49°×6  +68°×0
# Bend counts (per magnitude): 12°×80  30°×100  49°×120  68°×60
# Cable ends measured:  360
# Snap error:           mean |Δ|=4.79°  max |Δ|=9.40°  RMS=5.54°
#
# === Hinge arm clearance ===
# Per joint-end, minimum 3D distance between any two arm segments (hinge_pos -> pull_end_pos).
# Joint-ends measured: 92
# Pairs measured:      528
# Clearance:           min=14.7mm  mean=38.8mm  max=51.5mm
#
Index,Role,Length(m),Strain,AlphaX,AlphaY,AlphaZ,AlphaJoint,AlphaSlot,AlphaAngle,OmegaX,OmegaY,OmegaZ,OmegaJoint,OmegaSlot,OmegaAngle
70,pull,0.655,1.346e-3,-638.352,-659.897,9711.862,Z11,4,-30,-674.516,-797.759,9072.902,BX1Z2,3,+49
71,pull,0.693,0.000e0,107.544,1152.302,8232.147,Z10,3,+30,-407.782,1560.695,8013.795,AX2Z4,3,+30
72,pull,0.694,0.000e0,945.275,-669.703,8231.969,Z6,3,+30,1556.903,-426.437,8013.578,CX2Z4,3,+30
73,pull,0.694,0.000e0,-1050.991,-483.107,8232.252,Z2,3,+30,-1147.066,-1134.151,8013.422,BX2Z4,3,+30
74,pull,0.731,0.000e0,1659.049,1017.629,8177.255,CX2Z0,1,-49,2043.651,397.431,8216.052,CX1Z5,2,-12
75,pull,0.731,0.000e0,53.063,-1945.742,8176.933,BX2Z0,1,-49,-676.599,-1967.566,8215.400,BX1Z5,2,-12
76,pull,0.731,0.000e0,-1710.890,927.584,8176.880,AX2Z0,1,-49,-1364.873,1570.740,8215.619,AX1Z5,2,-12
77,pull,0.743,0.000e0,-1734.477,832.047,8111.917,AX2Z0,2,-30,-1567.882,615.189,7420.926,AX1Z3,1,-49
78,pull,0.743,0.000e0,147.603,-1918.403,8111.983,BX2Z0,2,-30,252.151,-1665.630,7420.835,BX1Z3,1,-49
79,pull,0.744,0.000e0,1588.102,1085.866,8112.289,CX2Z0,2,-30,1317.455,1051.229,7420.568,CX1Z3,1,-49
80,pull,0.737,0.000e0,-1158.261,-2459.272,7268.158,BX3Z2,1,-49,-491.251,-2763.379,7196.500,BX2Z3,2,-12
81,pull,0.737,0.000e0,-1549.862,2233.366,7268.333,AX3Z2,1,-49,-2146.892,1807.869,7196.561,AX2Z3,2,-12
82,pull,0.737,0.000e0,2710.236,226.258,7268.092,CX3Z2,1,-49,2639.994,956.679,7196.439,CX2Z3,2,-12
83,pull,0.755,0.000e0,-17.278,-2892.551,6338.550,BX4Z0,2,-30,26.742,-2494.011,5699.389,BX3Z3,2,-49
84,pull,0.750,0.000e0,-2495.659,1461.901,6338.909,AX4Z0,2,-30,-2170.544,1228.367,5705.091,AX3Z3,1,-49
85,pull,0.755,0.000e0,2514.792,1431.382,6338.716,CX4Z0,2,-30,2147.463,1270.213,5699.637,CX3Z3,2,-49
86,pull,0.742,0.000e0,2678.113,120.619,7233.036,CX3Z2,2,-30,2257.634,-251.789,6748.558,CX2Z1,1,-30
87,pull,0.742,0.000e0,-1233.720,-2378.657,7233.098,BX3Z2,2,-30,-1346.260,-1828.572,6748.179,BX2Z1,1,-30
88,pull,0.742,6.296e-6,-1442.314,2258.393,7233.267,AX3Z2,2,-30,-909.519,2080.922,6748.401,AX2Z1,1,-30
89,pull,0.755,0.000e0,2793.495,57.680,6297.880,CX4Z4,2,-30,3076.083,681.555,5978.989,CX3Z5,2,-49
90,pull,0.756,0.000e0,-1345.987,-2446.918,6298.214,BX4Z4,2,-30,-947.448,-3003.847,5979.017,BX3Z5,2,-49
91,pull,0.750,0.000e0,-1445.401,2390.262,6298.364,AX4Z4,2,-30,-2121.916,2319.319,5981.924,AX3Z5,1,-49
92,pull,0.750,3.021e-4,-672.732,1253.868,6733.329,AX3Z4,1,-49,-838.281,1985.262,6704.174,AX2Z1,2,-30
93,pull,0.751,3.853e-4,1422.906,-43.491,6733.328,CX3Z4,1,-49,2139.184,-265.685,6704.320,CX2Z1,2,-30
94,pull,0.751,4.745e-4,-748.440,-1209.674,6733.297,BX3Z4,1,-49,-1299.040,-1719.039,6703.960,BX2Z1,2,-30
95,pull,0.778,0.000e0,-400.170,-1597.983,6006.633,BX4Z2,4,-30,-939.616,-1905.929,5538.777,BX3Z1,1,-68
96,pull,0.778,0.000e0,-1183.233,1146.472,6006.715,AX4Z2,4,-30,-1180.144,1767.664,5538.930,AX3Z1,1,-68
97,pull,0.778,4.925e-5,1585.091,452.384,6006.787,CX4Z2,4,-30,2121.492,139.180,5538.759,CX3Z1,1,-68
98,pull,0.766,7.771e-4,1654.409,-347.896,8013.414,CX2Z4,2,-12,2061.153,272.462,8203.340,CX1Z5,1,-49
99,pull,0.766,8.441e-4,-1127.853,-1257.827,8013.207,BX2Z4,2,-12,-793.578,-1920.223,8202.727,BX1Z5,1,-49
100,pull,0.766,8.654e-4,-524.501,1605.961,8013.588,AX2Z4,2,-12,-1265.352,1648.343,8202.980,AX1Z5,1,-49
101,pull,0.766,4.908e-4,-2002.433,957.414,7117.242,AX3Z0,2,-12,-2199.431,1695.086,7177.797,AX2Z3,1,-49
102,pull,0.766,5.169e-4,1831.070,1256.354,7117.164,CX3Z0,2,-12,2568.575,1058.557,7177.686,CX2Z3,1,-49
103,pull,0.766,6.280e-4,173.186,-2213.041,7117.075,BX3Z0,2,-12,-367.312,-2752.487,7177.736,BX2Z3,1,-49
104,pull,0.777,6.964e-4,1734.992,1240.844,7052.886,CX3Z0,1,-68,1480.543,869.963,6418.693,CX2Z5,4,-30
105,pull,0.778,7.310e-4,207.803,-2122.100,7052.782,BX3Z0,1,-68,13.743,-1716.084,6418.729,BX2Z5,4,-30
106,pull,0.778,7.596e-4,-1940.976,881.969,7052.949,AX3Z0,1,-68,-1492.374,847.122,6418.832,AX2Z5,4,-30
107,pull,0.765,0.000e0,1053.439,-133.971,9023.672,CX1Z2,1,-30,1127.706,626.047,9074.170,Z1,3,-30
108,pull,0.763,1.793e-4,-410.304,979.353,9024.807,AX1Z2,1,-30,-1105.855,670.617,9078.694,Z5,2,-12
109,pull,0.782,1.101e-3,721.200,420.588,7428.996,CX2Z2,1,-68,1239.246,1000.136,7346.796,CX1Z3,2,-30
110,pull,0.763,3.961e-4,-642.013,-845.183,9024.402,BX1Z2,1,-30,-26.792,-1293.429,9078.374,Z9,2,-12
111,pull,0.782,1.251e-3,4.275,-833.724,7429.380,BX2Z2,1,-68,246.993,-1572.321,7347.107,BX1Z3,2,-30
112,pull,0.782,1.352e-3,-723.391,413.842,7429.243,AX2Z2,1,-68,-1484.485,573.011,7347.202,AX1Z3,2,-30
113,pull,0.766,8.128e-4,267.415,-433.056,7754.808,CX1Z4,1,-49,833.462,-669.979,8214.109,Z6,2,-12
114,pull,0.767,8.589e-4,242.269,447.020,7754.841,AX1Z4,1,-49,163.760,1055.600,8214.254,Z10,2,-12
115,pull,0.767,1.006e-3,-507.582,-14.023,7754.579,BX1Z4,1,-49,-995.368,-386.101,8214.351,Z2,2,-12
116,pull,0.781,5.660e-4,1032.058,-257.709,8970.609,CX1Z2,4,-12,909.651,-659.901,8312.248,Z6,1,-49
117,pull,0.781,9.164e-4,-738.433,-764.710,8971.394,BX1Z2,4,-12,-1024.698,-457.102,8312.525,Z2,1,-49
118,pull,0.782,1.272e-3,-292.401,1022.625,8971.812,AX1Z2,4,-12,116.952,1116.544,8312.420,Z10,1,-49
119,pull,0.790,3.353e-4,-714.199,1145.471,6708.477,AX3Z4,2,-30,-1385.942,872.682,6393.462,AX2Z5,1,-68
120,pull,0.791,4.383e-4,-633.833,-1191.393,6708.439,BX3Z4,2,-30,-61.606,-1636.689,6393.357,BX2Z5,1,-68
121,pull,0.791,6.872e-4,1349.754,46.602,6708.463,CX3Z4,2,-30,1449.459,765.010,6393.324,CX2Z5,1,-68
122,pull,0.802,0.000e0,-1144.565,-1180.092,7927.389,BX2Z4,1,-68,-909.341,-1089.010,7165.572,BX1Z1,4,-30
123,pull,0.803,0.000e0,-448.834,1581.567,7927.768,AX2Z4,1,-68,-487.537,1332.923,7165.621,AX1Z1,4,-30
