Joints;Role;Length;Strain
="115,116";Pushing;1805.65;-0.0004294622
="119,120";Pushing;1807.43;-0.0004311303
="19,193";Pulling;7412.19;0.0023765564
="59,64";Pulling;1093.61;0.0062508341
="64,70";Pulling;1016.55;0.0045189545
="186,184";Pulling;760.41;0.0047461702
="184,182";Pulling;744.87;0.0042442554
="182,186";Pulling;760.11;0.0047402009
="89,75";Pulling;1125.54;0.0077518984
="75,79";Pulling;1136.17;0.0081926584
="79,89";Pulling;995.98;0.0041381521
="91,96";Pulling;1045.94;0.0036790853
="91,92";Pushing;1743.25;-0.0004482080
="95,94";Pulling;1060.68;0.0038279500
="29,194";Pulling;7412.22;0.0023804368
="5,10";Pulling;928.70;0.0011031370
="10,16";Pulling;1026.06;0.0049502132
="76,42";Pulling;767.35;0.0135513302
="76,40";Pulling;703.86;0.0103344759
="83,40";Pulling;651.59;0.0079443101
="83,38";Pulling;706.44;0.0100195985
="89,38";Pulling;663.54;0.0081750369
="89,42";Pulling;701.87;0.0106456093
="99,102";Pulling;1035.85;0.0028081541
="97,100";Pulling;1060.78;0.0038300445
="99,100";Pushing;1744.83;-0.0004110179
="123,124";Pushing;1809.05;-0.0004148423
="123,122";Pulling;1089.41;0.0047729653
="125,126";Pushing;1805.65;-0.0004333633
="95,48";Pulling;764.90;0.0103222709
="95,46";Pulling;765.13;0.0094326688
="93,46";Pulling;771.25;0.0105277579
="93,44";Pulling;777.97;0.0104251606
="91,44";Pulling;788.09;0.0104665905
="91,48";Pulling;765.26;0.0098441867
="129,130";Pushing;1409.96;-0.0003929209
="129,128";Pulling;945.33;0.0054502152
="131,132";Pushing;1407.41;-0.0004325245
="105,108";Pulling;952.00;0.0038470535
="103,106";Pulling;1001.38;0.0052997842
="105,106";Pushing;1528.93;-0.0004377511
="97,50";Pulling;764.88;0.0103266137
="97,52";Pulling;765.16;0.0094269058
="99,52";Pulling;771.29;0.0105370460
="99,54";Pulling;778.02;0.0104374457
="101,54";Pulling;788.11;0.0104737142
="101,50";Pulling;765.23;0.0098430468
="137,134";Pulling;933.62;0.0051537049
="133,134";Pushing;1407.43;-0.0004251886
="137,138";Pushing;1408.43;-0.0004199772
="109,114";Pulling;975.70;0.0046334956
="109,110";Pushing;1528.39;-0.0004406078
="113,112";Pulling;1001.39;0.0053066504
="103,72";Pulling;734.77;0.0122607583
="103,59";Pulling;722.48;0.0117045315
="105,59";Pulling;694.61;0.0103319557
="105,63";Pulling;667.91;0.0091451732
="107,63";Pulling;694.89;0.0102000125
="107,72";Pulling;634.63;0.0075774216
="117,120";Pulling;1089.40;0.0047742617
="115,118";Pulling;1074.33;0.0038278610
="117,118";Pushing;1809.05;-0.0004159153
="141,142";Pushing;1866.05;-0.0004829964
="141,140";Pulling;1190.29;0.0047464846
="143,144";Pushing;1866.76;-0.0004833345
="113,90";Pulling;734.75;0.0122596221
